"Story","Title","Result","Date","Stability","Duration (s)"
"Perform actions on Organization Structure of MIS website","Search an employee and get their designation","SUCCESS","2022-10-15T21:48:18.517+05:30[Asia/Calcutta]","0.0","22.57"
"Perform actions on Organization Structure of MIS website","Count total number of seniors visible by default","SUCCESS","2022-10-15T21:48:41.786+05:30[Asia/Calcutta]","0.0","18.68"
"Perform actions on Organization Structure of MIS website","Expand and compress a senior with max reportees","ERROR","2022-10-15T21:49:01.174+05:30[Asia/Calcutta]","0.0","13.69"
"Perform actions on Organization Structure of MIS website","Zoom on a card by double clicking it","SUCCESS","2022-10-15T21:49:15.519+05:30[Asia/Calcutta]","0.0","25.52"
"Perform actions on Organization Structure of MIS website","Zoom in and Zoom out the organisation structure","ERROR","2022-10-15T21:49:41.721+05:30[Asia/Calcutta]","0.0","13.94"
