"Story","Title","Result","Date","Stability","Duration (s)"
"MIS Leave Management Activities","Click on Export Options Option for Change Request","SUCCESS","2022-10-14T02:22:40.175+05:30[Asia/Calcutta]","0.0","69.97"
"MIS Leave Management Activities","Click on Print Option for Change Request","SUCCESS","2022-10-14T02:23:50.157+05:30[Asia/Calcutta]","0.0","79.02"
"MIS Leave Management Activities","Click on Copy Option for Change Request","SUCCESS","2022-10-14T02:25:09.192+05:30[Asia/Calcutta]","0.0","78.59"
"MIS Leave Management Activities","Click on Excel Option for Change Request","SUCCESS","2022-10-14T02:26:27.807+05:30[Asia/Calcutta]","0.0","79.06"
"MIS Leave Management Activities","Verify PDF option for Change Request","SUCCESS","2022-10-14T02:27:46.886+05:30[Asia/Calcutta]","0.0","81.47"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Comp Off","SUCCESS","2022-10-14T02:29:08.368+05:30[Asia/Calcutta]","0.0","60.35"
"MIS Leave Management Activities","Verify Date Range field is present for Comp Off Tab","SUCCESS","2022-10-14T02:30:08.738+05:30[Asia/Calcutta]","0.0","60.55"
"MIS Leave Management Activities","Enter Invalid Date Range for Comp Off Tab","SUCCESS","2022-10-14T02:31:09.308+05:30[Asia/Calcutta]","0.0","70.35"
"MIS Leave Management Activities","Enter Valid Date Range for Comp Off Tab","SUCCESS","2022-10-14T02:32:19.683+05:30[Asia/Calcutta]","0.0","81.01"
"MIS Leave Management Activities","Click on Export Options Option for Comp Off Tab","SUCCESS","2022-10-14T02:33:40.712+05:30[Asia/Calcutta]","0.0","70.12"
"MIS Leave Management Activities","Click on Print Option for Comp Off Tab","SUCCESS","2022-10-14T02:34:50.844+05:30[Asia/Calcutta]","0.0","79.78"
"MIS Leave Management Activities","Click on Copy Option for Comp Off Tab","SUCCESS","2022-10-14T02:36:10.639+05:30[Asia/Calcutta]","0.0","82.61"
"MIS Leave Management Activities","Click on Excel Option for Comp Off Tab","SUCCESS","2022-10-14T02:37:33.271+05:30[Asia/Calcutta]","0.0","79.09"
"MIS Leave Management Activities","Verify PDF option for Comp Off Tab","SUCCESS","2022-10-14T02:38:52.384+05:30[Asia/Calcutta]","0.0","79.25"
"MIS Leave Management Activities","Enter Comp Off Period Name in Search Box for Comp Off Tab","SUCCESS","2022-10-14T02:40:11.638+05:30[Asia/Calcutta]","0.0","61.28"
"MIS Leave Management Activities","Sort columns for Comp Off Tab","SUCCESS","2022-10-14T02:41:12.936+05:30[Asia/Calcutta]","0.0","97.16"
"MIS Leave Management Activities","Expand Details of Comp Off","SUCCESS","2022-10-14T02:42:50.118+05:30[Asia/Calcutta]","0.0","70.37"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Leave Tab","SUCCESS","2022-10-14T02:44:00.507+05:30[Asia/Calcutta]","0.0","50.68"
"MIS Leave Management Activities","Verify Date Range field is present for Leave Tab","SUCCESS","2022-10-14T02:44:51.204+05:30[Asia/Calcutta]","0.0","50.9"
"MIS Leave Management Activities","Enter Invalid Date Range for Leave Tab","SUCCESS","2022-10-14T02:45:42.121+05:30[Asia/Calcutta]","0.0","60.33"
"MIS Leave Management Activities","Enter Valid Date Range for Leave Tab","SUCCESS","2022-10-14T02:46:42.467+05:30[Asia/Calcutta]","0.0","70.94"
"MIS Leave Management Activities","Verify Export Options for Leave Tab","SUCCESS","2022-10-14T02:47:53.424+05:30[Asia/Calcutta]","0.0","60.36"
"MIS Leave Management Activities","Click on Print Option for Leave Tab","SUCCESS","2022-10-14T02:48:53.806+05:30[Asia/Calcutta]","0.0","69.98"
"MIS Leave Management Activities","Click on Excel Option for Leave Tab","SUCCESS","2022-10-14T02:50:03.808+05:30[Asia/Calcutta]","0.0","69.06"
"MIS Leave Management Activities","Click on Copy Option for Leave Tab","SUCCESS","2022-10-14T02:51:12.882+05:30[Asia/Calcutta]","0.0","69.52"
"MIS Leave Management Activities","Verify PDF option for Leave Tab","SUCCESS","2022-10-14T02:52:22.405+05:30[Asia/Calcutta]","0.0","70.06"
"MIS Leave Management Activities","Verify Number of Entries displayed for Leave Tab","SUCCESS","2022-10-14T02:53:32.485+05:30[Asia/Calcutta]","0.0","82.27"
"MIS Leave Management Activities","Enter Leave Period Name in Search Box for Leave Tab","SUCCESS","2022-10-14T02:54:54.778+05:30[Asia/Calcutta]","0.0","53.45"
"MIS Leave Management Activities","Sort columns for Leave Tab","SUCCESS","2022-10-14T02:55:48.248+05:30[Asia/Calcutta]","0.0","87.3"
"MIS Leave Management Activities","Page Next for Leave Tab","SUCCESS","2022-10-14T02:57:15.572+05:30[Asia/Calcutta]","0.0","85.25"
"MIS Leave Management Activities","Page Previous for Leave Tab","SUCCESS","2022-10-14T02:58:40.838+05:30[Asia/Calcutta]","0.0","98.72"
"MIS Leave Management Activities","Cancel Leave for Leave Tab","SUCCESS","2022-10-14T03:00:19.581+05:30[Asia/Calcutta]","0.0","148.72"
"MIS Leave Management Activities","Navigate to Leave Management > View Request Status tab > Out Duty/Tour","SUCCESS","2022-10-14T03:02:48.327+05:30[Asia/Calcutta]","0.0","51.28"
"MIS Leave Management Activities","Verify Date Range field is present for Out Duty/Tour","SUCCESS","2022-10-14T03:03:39.631+05:30[Asia/Calcutta]","0.0","51.96"
"MIS Leave Management Activities","Enter Invalid Date Range for Out Duty/Tour","SUCCESS","2022-10-14T03:04:31.612+05:30[Asia/Calcutta]","0.0","61.54"
"MIS Leave Management Activities","Enter Valid Date Range for Out Duty/Tour","SUCCESS","2022-10-14T03:05:33.177+05:30[Asia/Calcutta]","0.0","73.77"
"MIS Leave Management Activities","Click on Export Options Option for Out Duty/Tour","SUCCESS","2022-10-14T03:06:46.97+05:30[Asia/Calcutta]","0.0","61.44"
"MIS Leave Management Activities","Click on Print Option for Out Duty/Tour","SUCCESS","2022-10-14T03:07:48.429+05:30[Asia/Calcutta]","0.0","70.89"
"MIS Leave Management Activities","Click on Copy Option for Out Duty/Tour","SUCCESS","2022-10-14T03:08:59.347+05:30[Asia/Calcutta]","0.0","70.65"
"MIS Leave Management Activities","Verify PDF option for Out Duty/Tour","SUCCESS","2022-10-14T03:10:30.854+05:30[Asia/Calcutta]","0.0","70.95"
