"Story","Title","Result","Date","Stability","Duration (s)"
"Apply to any card maximizing and minimizing cards.","Test to verify minimize functionality is working on any card in Beta Mis","SUCCESS","2022-10-15T20:28:24.6+05:30[Asia/Calcutta]","0.0","27.09"
"Apply to any card maximizing and minimizing cards.","Test to verify fullscreen functionality is working on any card in Beta Mis","SUCCESS","2022-10-15T20:28:52.399+05:30[Asia/Calcutta]","0.0","28.53"
